"Timestamp","Actor","Behavior","Recipient","Location","Observer","Comment"
"8/29/2015 12:56:32","2","Fighting, Chasing","12","UL","WL",""
"8/29/2015 12:57:04","2","Fighting, Chasing","1","UR","WL",""
"8/29/2015 12:58:43","2","Fighting","7","UR","WL",""
"8/29/2015 13:00:45","End","End","End","End","WL",""
"8/30/2015 12:00:21","Start","Start","Start","Start","CW",""
"8/30/2015 12:08:39","2","Fighting","3","UR","CW",""
"8/30/2015 12:16:33","2","Chasing","1","UL, UR","CW",""
"8/30/2015 12:27:43","2","Fighting, Chasing","1","UL","CW",""
"8/30/2015 12:27:51","2","Fighting, Chasing","11","ML","CW",""
"8/30/2015 12:41:32","2","Fighting","12","NB5","CW",""
"8/30/2015 12:45:53","2","Chasing","6","UL, UR","CW",""
"8/30/2015 12:47:05","2","Fighting, Chasing","11","UR, MR, LR","CW",""
"8/30/2015 12:47:49","2","Chasing","10","UL","CW",""
"8/30/2015 12:50:17","11","Fighting","6","NB1","CW",""
"8/30/2015 12:50:42","2","Fighting","5","MR","CW",""
"8/30/2015 12:50:59","2","Fighting, Chasing","7","UL, ML","CW",""
"8/30/2015 12:53:04","2","Fighting","7","NB4","CW",""
"8/30/2015 13:01:20","End","End","End","End","CW",""
"8/31/2015 14:02:48","Start","Start","Start","Start","CW",""
"8/31/2015 14:06:20","2","Fighting","6","NB3","CW",""
"8/31/2015 14:07:53","2","Fighting, Chasing","5","UR, MR, LR, NB3, NB4","CW",""
"8/31/2015 14:10:30","2","Fighting, Chasing","4","UL, UR","CW",""
"8/31/2015 14:11:03","2","Fighting, Chasing","8","UL, UR, MR, LR","CW",""
"8/31/2015 14:12:03","8","Chasing","4","LL, NB1, NB2","CW",""
"8/31/2015 14:12:17","2","Fighting","4","UL","CW",""
"8/31/2015 14:14:29","2","Fighting","8","LR","CW",""
"8/31/2015 14:17:45","2","Fighting, Chasing","1","UR, MR, LR, NB3","CW",""
"8/31/2015 14:17:58","2","Fighting, Chasing","5","UR, MR, LR, NB2","CW",""
"8/31/2015 14:18:50","2","Fighting","5","NB3","CW",""
"8/31/2015 14:23:15","2","Chasing","1","UL, UR, MR","CW",""
"8/31/2015 14:23:53","2","Fighting","7","UR","CW",""
"8/31/2015 14:25:20","2","Chasing","8","ML, LL, LR","CW",""
"8/31/2015 14:27:02","2","Fighting","12","NB3","CW",""
