Timestamp,Actor,Behavior,Recipient,Location,Observer,Comment,Outside assigned observation time
8/24/2015 15:16:37,2,"Fighting, Chasing",7,ML,WL,,
8/24/2015 15:16:46,2,Fighting,5,ML,WL,,
8/24/2015 15:17:13,8,"Fighting, Chasing, Subordinate",5,LL,WL,,
8/24/2015 15:24:43,10,"Fighting, Chasing",5,UR,WL,,
8/24/2015 15:57:22,12,Chasing,3,NB4,WL,all sleeping except 8........=_=;;;;3 30pm. Well now all of them are sleeping 3 38pm.,
8/24/2015 16:00:28,End,End,End,End,WL,,
8/25/2015 14:00:19,Start,Start,Start,Start,BN,,
8/25/2015 14:04:35,2,Fighting,7,UL,BN,,
8/25/2015 14:11:06,1,Fighting,4,UR,BN,,
8/25/2015 14:11:46,3,Fighting,2,UL,BN,,
8/25/2015 14:14:21,1,Fighting,9,"NB1, NB2",BN,,
8/25/2015 14:14:34,1,Fighting,7,UR,BN,,
8/25/2015 14:15:44,1,Subordinate,2,MR,BN,,
8/25/2015 14:17:29,12,Fighting,"1, 9",UR,BN,,
8/25/2015 14:19:54,2,Fighting,7,LL,BN,,
8/25/2015 14:20:06,12,Fighting,9,ML,BN,,
8/25/2015 14:27:39,8,Chasing,11,LL,BN,,
8/25/2015 14:28:59,8,"Fighting, Chasing",11,"LL, LR",BN,,
8/25/2015 14:31:21,8,"Fighting, Chasing",11,"LL, LR",BN,,
8/25/2015 14:32:04,8,Fighting,11,UL,BN,,
8/25/2015 14:39:15,8,Chasing,11,LR,BN,,
8/25/2015 14:48:18,8,Fighting,10,UL,BN,,
8/25/2015 15:02:34,End,End,End,End,BN,,
8/26/2015 8:55:49,12,"Fighting, Chasing",4,UR,WL,,Yes
8/26/2015 8:56:00,12,"Fighting, Chasing",4,LL,WL,,Yes
8/26/2015 8:56:22,12,"Fighting, Subordinate",11,NB2,WL,interesting,Yes
8/26/2015 16:00:35,Start,Start,Start,Start,WL,,
8/26/2015 16:03:23,10,Fighting,7,UL,WL,,
8/26/2015 16:06:10,8,Chasing,2,MR,WL,,
8/26/2015 16:07:02,10,"Fighting, Chasing",7,MR,WL,,
8/26/2015 16:07:11,8,Chasing,10,LL,WL,,
8/26/2015 16:12:32,5,"Fighting, Chasing",6,LL,WL,,
8/26/2015 16:13:26,1,Chasing,5,LL,WL,,
8/26/2015 16:15:43,8,Chasing,6,LL,WL,,
8/26/2015 16:15:55,8,Subordinate,3,NB2,WL,,
8/26/2015 16:17:31,8,Chasing,6,LL,WL,"11 is inactive,,,, it seemss.",
8/26/2015 16:20:07,7,"Fighting, Chasing",1,LL,WL,,
8/26/2015 16:22:11,8,Subordinate,1,ML,WL,,
8/26/2015 16:25:13,8,"Fighting, Chasing",6,UL,WL,,
8/26/2015 16:25:49,10,Chasing,7,LL,WL,,
8/26/2015 16:26:31,1,"Fighting, Chasing, Subordinate",10,LL,WL,hmmmmm.....?,
8/26/2015 16:27:44,10,"Fighting, Chasing",7,UL,WL,,
8/26/2015 16:28:18,7,"Fighting, Chasing",1,LL,WL,circularity!,
8/26/2015 16:28:40,1,"Fighting, Chasing",6,NB5,WL,intense,
8/26/2015 16:29:09,1,"Fighting, Chasing",4,ML,WL,,
8/26/2015 16:29:18,1,Chasing,5,MR,WL,,
8/26/2015 16:29:43,8,"Chasing, Subordinate",1,LR,WL,,
8/26/2015 16:33:50,1,"Fighting, Chasing",4,MR,WL,persistent,
8/26/2015 16:34:19,1,"Fighting, Chasing",4,MR,WL,,
8/26/2015 16:34:54,1,"Fighting, Chasing",5,ML,WL,,
8/26/2015 16:35:12,1,"Fighting, Chasing",6,UR,WL,,
8/26/2015 16:35:32,1,"Chasing, Subordinate",6,UL,WL,,
8/26/2015 16:36:46,8,Fighting,10,NB5,WL,,
8/26/2015 16:38:03,1,Chasing,9,UL,WL,,
8/26/2015 16:39:24,1,"Fighting, Chasing",9,UR,WL,,
8/26/2015 16:42:13,1,"Fighting, Chasing",6,NB3,WL,,
8/26/2015 16:43:13,2,Chasing,5,UR,WL,,
8/26/2015 16:43:23,1,"Fighting, Chasing",10,UL,WL,,
8/26/2015 16:51:29,3,"Fighting, Chasing",10,NB2,WL,,
8/26/2015 16:58:40,12,Chasing,3,MR,WL,,
8/26/2015 17:00:10,End,End,End,End,WL,,
8/27/2015 11:59:10,Start,Start,Start,Start,CW,,
8/27/2015 12:15:58,8,"Fighting, Chasing",1,"UL, ML, UR, MR, LR",CW,,
8/27/2015 12:16:39,8,Fighting,1,NB3,CW,,
8/27/2015 12:18:18,8,Chasing,12,"MR, LR, NB3",CW,,
8/27/2015 12:18:59,7,Chasing,1,"ML, LL, MR, LR",CW,,
8/27/2015 12:19:32,8,Chasing,4,"LL, LR",CW,,
8/27/2015 12:21:04,3,Chasing,10,"ML, LL",CW,,
8/27/2015 12:30:29,7,Chasing,6,"MR, LR",CW,,
8/27/2015 12:30:44,8,Chasing,6,"UR, MR, LR",CW,,
8/27/2015 12:31:00,12,Fighting,9,NB3,CW,,
8/27/2015 12:31:31,8,"Fighting, Chasing",6,"UL, ML, UR, MR, NB2, NB3",CW,,
8/27/2015 12:32:45,12,Fighting,11,NB2,CW,last 5 observations weren't all in a row. internet went out on the tablet and i took written notes and entered data when internet returned,
8/27/2015 12:34:19,8,"Fighting, Chasing",10,"UR, MR, LR",CW,,
8/27/2015 12:34:45,8,Fighting,3,ML,CW,,
8/27/2015 12:35:50,1,"Fighting, Chasing",6,"ML, LL, NB2",CW,,
8/27/2015 12:36:24,8,Chasing,6,"UL, ML",CW,,
8/27/2015 12:37:12,8,Fighting,1,LL,CW,,
8/27/2015 12:37:30,8,Fighting,7,LL,CW,,
8/27/2015 12:38:13,8,Fighting,10,LL,CW,,
8/27/2015 12:41:03,6,Chasing,9,"ML, MR",CW,,
8/27/2015 12:42:33,5,Chasing,6,"ML, LL",CW,,
8/27/2015 12:42:56,8,Chasing,2,"ML, MR",CW,,
8/27/2015 12:44:24,2,"Fighting, Chasing",5,"UL, ML",CW,,
8/27/2015 12:44:38,8,"Fighting, Chasing",9,"MR, LR",CW,,
8/27/2015 12:45:04,2,"Fighting, Chasing",5,"ML, LL",CW,,
8/27/2015 12:45:32,8,Chasing,1,LL,CW,,
8/27/2015 12:49:10,7,Chasing,1,"MR, LR",CW,,
8/27/2015 12:49:24,8,Fighting,12,LL,CW,,
8/27/2015 12:50:14,7,Chasing,5,"NB1, NB2, NB5",CW,,
8/27/2015 12:53:43,7,Fighting,3,NB4,CW,,
8/27/2015 12:55:43,12,Fighting,11,LL,CW,,
8/27/2015 12:56:13,8,"Fighting, Chasing",12,"LL, LR",CW,,
8/27/2015 13:00:15,End,End,End,End,CW,,
8/27/2015 14:30:41,Start,Start,Start,Start,WL,,
8/27/2015 14:34:27,11,Fighting,9,NB2,WL,11 always stays in NB2,
8/27/2015 14:35:03,12,Subordinate,5,NB3,WL,,
8/27/2015 14:35:16,8,Fighting,6,NB5,WL,,
8/27/2015 14:36:46,12,Chasing,11,LL,WL,!,
8/27/2015 14:37:01,12,Fighting,7,LL,WL,,
8/27/2015 14:37:34,8,Chasing,"7, 11",UL,WL,,
8/27/2015 14:37:43,8,Chasing,2,MR,WL,,
8/27/2015 14:39:09,8,Subordinate,11,NB2,WL,,
8/27/2015 14:41:37,8,"Fighting, Chasing",3,NB3,WL,3was attacking some other mouse,
8/27/2015 14:43:23,8,Fighting,"3, 11",LL,WL,,
8/27/2015 14:43:35,8,Chasing,6,ML,WL,,
8/27/2015 14:45:41,8,Chasing,3,UR,WL,,
8/27/2015 14:46:08,8,"Fighting, Chasing, Subordinate",1,LR,WL,,
8/27/2015 14:47:12,7,Chasing,9,MR,WL,,
8/27/2015 14:48:53,11,Fighting,3,NB2,WL,,
8/27/2015 14:51:49,1,"Fighting, Chasing",9,ML,WL,,
8/27/2015 14:52:21,8,"Fighting, Chasing",1,ML,WL,,
8/27/2015 14:52:46,8,"Fighting, Chasing",6,UR,WL,,
8/27/2015 14:54:11,10,"Fighting, Chasing",9,ML,WL,,
8/27/2015 14:58:12,8,"Fighting, Chasing",3,UR,WL,,
8/27/2015 14:58:52,1,Chasing,2,UL,WL,,
8/27/2015 14:59:55,8,Subordinate,1,UR,WL,,
8/27/2015 15:03:03,3,"Fighting, Chasing, Subordinate",10,NB3,WL,persistent,
8/27/2015 15:03:45,12,Fighting,11,MR,WL,,
8/27/2015 15:03:56,8,"Fighting, Chasing",7,MR,WL,,
8/27/2015 15:05:20,12,Subordinate,11,NB2,WL,,
