"realtime","subject","side","cohort","day"
560,"M11","left",39,22
560,"M3","right",39,22
560,"M6","right",39,22
560,"M9","right",39,22
560,"M11","right",39,22
561,"M6","left",39,22
561,"M4","right",39,22
561,"M6","right",39,22
561,"M9","right",39,22
562,"M4","right",39,22
563,"M3","right",39,22
563,"M4","right",39,22
563,"M12","right",39,22
564,"M6","right",39,22
565,"M6","right",39,22
566,"M1","left",39,22
566,"M6","right",39,22
566,"M12","right",39,22
567,"M6","right",39,22
567,"M12","right",39,22
568,"M1","left",39,22
568,"M2","right",39,22
569,"M1","left",39,22
569,"M2","right",39,22
570,"M1","left",39,22
570,"M3","left",39,22
570,"M2","right",39,22
571,"M3","left",39,22
572,"M2","right",39,22
572,"M3","right",39,22
573,"M12","right",39,22
574,"M2","left",39,22
575,"M2","left",39,22
576,"M2","left",39,22
577,"M2","right",39,22
578,"M2","left",39,22
578,"M4","right",39,22
578,"M6","right",39,22
579,"M2","left",39,22
579,"M4","right",39,22
580,"M2","left",39,22
580,"M4","right",39,22
581,"M4","right",39,22
581,"M6","right",39,22
582,"M4","left",39,22
582,"M6","right",39,22
583,"M6","right",39,22
588,"M9","left",39,22
591,"M10","left",39,22
591,"M10","right",39,22
592,"M4","left",39,22
592,"M12","right",39,22
593,"M4","left",39,22
593,"M12","right",39,22
594,"M4","left",39,22
594,"M12","right",39,22
595,"M6","right",39,22
598,"M4","left",39,22
599,"M12","right",39,22
605,"M10","right",39,22
606,"M10","right",39,22
607,"M10","right",39,22
608,"M2","right",39,22
609,"M2","right",39,22
610,"M2","left",39,22
610,"M10","left",39,22
610,"M2","right",39,22
611,"M10","left",39,22
611,"M2","right",39,22
612,"M2","right",39,22
613,"M2","right",39,22
614,"M10","right",39,22
620,"M7","left",39,22
621,"M7","left",39,22
622,"M7","left",39,22
623,"M7","left",39,22
