Timestamp,Actor,Behavior,Recipient,Location,Observer
10/20/2015 18:22:00,8,Fighting,"1, 7",LR,BN
10/20/2015 18:23:00,8,"Subordinate, Induce-flee",9,LR,BN
10/20/2015 18:25:00,8,Subordinate,1,NB5,BN
10/20/2015 18:26:00,8,Fighting,5,NB5,BN
10/20/2015 18:28:00,10,Fighting,3,UR,BN
10/20/2015 18:31:00,8,Chasing,9,"UL, ML, LL, LR",BN
10/20/2015 18:32:00,10,Chasing,12,"LL, LR",BN
10/20/2015 18:33:00,10,Induce-flee,9,LL,BN
10/20/2015 18:33:00,3,Mounting,12,UR,BN
10/20/2015 18:34:00,10,Fighting,3,"UL, UR",BN
10/20/2015 18:35:00,10,Fighting,9,"UL, ML",BN
10/20/2015 18:37:00,10,Chasing,3,"UR, MR",BN
10/20/2015 18:38:00,10,Fighting,3,UL,BN
10/20/2015 18:40:00,3,Fighting,12,"UR, MR",BN
10/20/2015 18:40:00,10,Fighting,3,LR,BN
10/20/2015 18:42:00,10,Subordinate,3,UL,BN
10/20/2015 18:45:00,10,Chasing,9,"UL, ML, LL",BN
10/20/2015 18:45:00,10,Fighting,3,UL,BN
10/20/2015 18:47:00,10,Fighting,12,UL,BN
10/20/2015 18:50:00,10,Fighting,9,LR,BN
10/20/2015 18:52:00,10,Chasing,5,"LL, LR",BN
10/20/2015 18:53:00,10,Chasing,9,"ML, LL, LR",BN
10/20/2015 18:54:00,10,Chasing,5,"ML, LL, LR",BN
10/20/2015 18:56:00,10,Fighting,12,LR,BN
10/20/2015 18:57:00,10,Subordinate,3,UL,BN
10/20/2015 18:58:00,5,Fighting,3,NB5,BN
10/20/2015 18:59:00,10,Fighting,5,LR,BN
10/20/2015 18:59:00,10,Fighting,9,LR,BN
10/21/2015 12:02:00,5,Mounting,2,LR,HD
10/21/2015 12:04:00,5,Chasing,2,"LL, LR",HD
10/21/2015 12:05:00,10,Chasing,5,All over,HD
10/21/2015 12:06:00,10,Chasing,2,"ML, LL, LR",HD
10/21/2015 12:07:00,10,Chasing,2,"MR, LR",HD
10/21/2015 12:11:00,10,Chasing,4,"ML, LL, LR",HD
10/21/2015 12:12:00,10,Chasing,2,"ML, LL",HD
10/21/2015 12:17:00,10,Induce-flee,5,"LL, LR",HD
10/21/2015 12:18:00,10,Fighting,8,LR,HD
10/21/2015 12:22:00,10,"Fighting, Chasing",2,"ML, MR, LR",HD
10/21/2015 12:23:00,5,Chasing,6,All over,HD
10/21/2015 12:25:00,10,Chasing,9,LR,HD
10/21/2015 12:36:00,3,Chasing,8,"UL, ML, UR",HD
10/21/2015 12:39:00,3,Fighting,9,LR,HD
10/21/2015 12:41:00,10,Chasing,3,"UR, MR, LR",HD
10/21/2015 12:42:00,3,Chasing,6,"MR, LR",HD
10/21/2015 12:48:00,10,Fighting,8,LR,HD
10/21/2015 12:59:00,10,Chasing,12,"UR, MR",HD
10/21/2015 13:00:00,3,"Fighting, Chasing",7,"ML, LL, LR",HD
10/21/2015 13:02:00,10,Chasing,3,"UL, UR",HD
10/21/2015 13:09:00,2,Chasing,11,"LL, LR",HD
10/21/2015 13:14:00,2,"Fighting, Chasing",1,"NB3, NB4, NB5",HD
10/21/2015 13:16:00,3,Mounting,12,LR,HD
10/21/2015 13:20:00,3,"Chasing, Mounting",12,"UR, MR",HD
10/21/2015 13:25:00,10,Chasing,3,"UL, UR",HD
10/21/2015 13:28:00,10,Chasing,12,"UL, UR",HD
10/21/2015 13:36:00,10,Chasing,1,"MR, LR",HD
10/21/2015 13:39:00,3,Fighting,4,LR,HD
10/21/2015 13:40:00,10,Fighting,3,UL,HD
10/21/2015 13:41:00,3,Chasing,7,"UL, UR",HD
10/21/2015 13:42:00,10,Fighting,5,LR,HD
10/21/2015 13:53:00,10,Chasing,4,"LL, NB1, NB2",HD
10/21/2015 13:56:00,2,Fighting,9,LR,HD
10/21/2015 13:59:00,3,Chasing,8,ML,HD
10/22/2015 12:04:00,10,"Fighting, Chasing",7,All over,WL
10/22/2015 12:04:00,10,Chasing,2,LR,WL
10/22/2015 12:04:00,10,Chasing,9,LL,WL
10/22/2015 12:05:00,2,"Fighting, Chasing",9,LR,WL
10/22/2015 12:05:00,2,Chasing,9,LR,WL
10/22/2015 12:08:00,10,"Fighting, Chasing, Subordinate",7,LR,WL
10/22/2015 12:14:00,5,Chasing,6,LR,WL
10/22/2015 12:14:00,10,Chasing,5,"LL, LR",WL
10/22/2015 12:15:00,10,"Chasing, Subordinate",1,"LL, NB1, NB2",WL
10/22/2015 12:16:00,2,"Fighting, Chasing",12,"LL, LR",WL
10/22/2015 12:17:00,3,"Fighting, Chasing",2,"NB1, NB5",WL
10/22/2015 12:18:00,10,Chasing,12,"LL, LR",WL
10/22/2015 12:21:00,2,"Fighting, Chasing, Subordinate",11,"NB3, NB4",WL
10/22/2015 12:21:00,10,Fighting,6,LR,WL
10/22/2015 12:22:00,10,"Chasing, Subordinate",3,"MR, LR",WL
10/22/2015 12:23:00,10,"Fighting, Chasing",7,"UL, ML",WL
10/22/2015 12:25:00,10,"Fighting, Chasing, Subordinate",3,"MR, LR",WL
10/22/2015 12:25:00,10,Subordinate,11,UR,WL
10/22/2015 12:26:00,3,"Fighting, Chasing",4,"UL, UR",WL
10/22/2015 12:29:00,10,Induce-flee,4,LR,WL
10/22/2015 12:30:00,3,Induce-flee,6,LR,WL
10/22/2015 12:30:00,10,"Fighting, Chasing",3,LR,WL
10/22/2015 12:31:00,10,"Fighting, Chasing",3,"MR, LR",WL
